Proj_Contact_Name,ORCID,ORCID_Exist,affiliation,alias
"Kutsch, Werner",,N,,
"Kutzbach, Lars",,N,,
"Kwok, Ronald",,N,,
"Labucis, Atis",,N,,
"Ladd, Darcy N.",,N,,
"Laidre, Kristin",,N,,
"Lamb, Michael",,N,,
"Langford, John",,N,,
"Laurent, Benoit",,N,,
"Laurila, Tuomas",,N,,
"L'Ecuyer, Tristan",,N,,
"Lee, Craig",https://orcid.org/0000-0002-3479-801X,Y,,
Leivur Janus Hansen,,N,,
"Lenters, John",,N,,
"Levula, Janne",,N,,
"Levy, Peter",,N,,
"Lewkowicz, Antoni",,N,,
"Light, Bonnie",,N,,
"Liljedahl, Lillimor",,N,,
"Lindroth, Anders",,N,,
"Lipovsky, panya",,N,,
Lis Mortensenlm​,,N,,
"Liston, Glen",,N,,
"Little, Christopher",,N,,
"Liu, Desheng",,N,,
"Livingston, Michael",,N,,
"Loboda, Tatiana",,N,,
"Loisel, Julie",,N,,
"Lougheed, Vanessa",,N,,
"Lowe, Marie",http://orcid.org/0000-0001-5368-8679,Y,,
"Luis, Francois",,N,,
"Lund, Magnus",,N,,
"Lynch, Amanda",,N,,
Lynda orman,,N,,
Maarten Loonen,,N,,
"Mack, Michelle",,N,,
"MacLellan, Chris",,N,,
"Madsen, Finn Bo",,N,,
Magnus Augner,,N,,
"Mahoney, Andrew",,N,,
"Maio, Christopher",https://orcid.org/0000-0003-2993-7764,Y,,
"Makshtas, Alexander",,N,,
"Malkova, Galina",,N,,
"Manager, unknown",,N,,
"Mandel, Michael",,N,,
"Mander, Ülo",,N,,
"Marco, Maria",Available OrcID do not match with PI,N,,
Marek Dobrowolski,,N,,
Maribeth Murray,,N,,
"Marsh, Philip (Phil)",,N,,
"Marshall, Hans-Peter",,N,,
Martin Ahlström,,N,,
"Martinsen, Matthew",,N,,
Mateusz Strzelecki,,N,,
"Mathis, Jeremy",,N,,
"Matrai, Patricia",,N,,
"Matsuoka, Norikazu",,N,,
"Matteucci , Matt",,N,,
"Maturilli, Marion",,N,,
Mauro Mazzola,,N,,
"McClelland, James",,N,,
"McConnell, Joseph",,N,,
"McPhee, Miles",,N,,
"Meneghello, Gianluca",,N,,
"Mengedoht, Dirk",,N,,
"Merbold, Lutz",,N,,
"Meyers, Tilden",,N,,
Mickael Lemay,,N,,
Mickaél Lemay,,N,,
"Mike, Goulden",,N,,
Mikko Jokinen,,N,,
"Miller, Charles (Chip)",,N,,
"Miller-Hooks, Elise",,N,,
"Minkkinen, Kari",,N,,
"Mo, Yunjeong",,N,,
"Moerman, Marcel M.",,N,,
"Moghaddam, Mahta",,N,,
"Moncrieff, John",,N,,
"Moors, Eddy",,N,,
"Morison, James",,N,,
"Morris, Sara",,N,,
"Moskalenko, Natalia",,N,,
"Musselman, Keith",,N,,
"Mutter, Edda",,N,,
"Neely, Ryan",,N,,
"Nelson, Frederick ""Fritz""",,N,,
"Nelson, Frederick 'Fritz'",,N,,
"Neumann, Rebecca",,N,,
"Nevison, Cynthia",,N,,
"Newman, Andrew",,N,,
"Nicholas-Figueroa, Linda",,N,,
Nick Cox,,N,,
"Nicolsky, Dmitri",,N,,
"Nikolashkin, Semen",,N,,
"Nilsson, Mats",,N,,
Nina Kirchner,,N,,
"Notholt, Justus",,N,,
